127.0.0.1 - - [20/Jul/2016:13:59:13 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:19 -0600] "GET /FindIp/ HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:27 -0600] "GET /FindIp/ HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:28 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:29 -0600] "POST /FindIp/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:30 -0600] "GET /FindIp/search.do HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:30 -0600] "GET /FindIp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:30 -0600] "GET /FindIp/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:30 -0600] "GET /FindIp/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:13:59:37 -0600] "POST /FindIp/rest/getIpData?Accept=application%2Fjson&content-type=application%2Fjson HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:00:07 -0600] "GET /FindIp/angular/angular.min.js.map HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:21 -0600] "GET /FindIp/search.do HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:21 -0600] "GET /FindIp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:21 -0600] "GET /FindIp/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:21 -0600] "GET /FindIp/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:22 -0600] "GET /FindIp/angular/angular.min.js.map HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:26 -0600] "GET /FindIp/search.do HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:26 -0600] "GET /FindIp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:26 -0600] "GET /FindIp/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:26 -0600] "GET /FindIp/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:26 -0600] "GET /FindIp/angular/angular.min.js.map HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:28 -0600] "GET /FindIp/ HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:29 -0600] "POST /FindIp/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:29 -0600] "GET /FindIp/search.do HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:29 -0600] "GET /FindIp/angular/angular.min.js.map HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:38 -0600] "GET /FindIp/search.do HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:38 -0600] "GET /FindIp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:38 -0600] "GET /FindIp/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:38 -0600] "GET /FindIp/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:38 -0600] "GET /FindIp/angular/angular.min.js.map HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:44 -0600] "GET /FindIp/search.do HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:45 -0600] "GET /FindIp/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:45 -0600] "GET /FindIp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:45 -0600] "GET /FindIp/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:45 -0600] "GET /FindIp/angular/angular.min.js.map HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:01:50 -0600] "POST /FindIp/rest/getIpData?Accept=application%2Fjson&content-type=application%2Fjson HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:02:09 -0600] "GET /FindIp/search.do HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:02:10 -0600] "GET /FindIp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:02:10 -0600] "GET /FindIp/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:02:10 -0600] "GET /FindIp/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:02:10 -0600] "GET /FindIp/angular/angular.min.js.map HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:02:41 -0600] "POST /FindIp/rest/getIpData?Accept=application%2Fjson&content-type=application%2Fjson HTTP/1.1" 200 212
127.0.0.1 - - [20/Jul/2016:14:06:09 -0600] "GET /FindIp/ HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:06:11 -0600] "GET /FindIp/search.do HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:06:12 -0600] "GET /FindIp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:06:12 -0600] "GET /FindIp/js/test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:06:12 -0600] "GET /FindIp/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:06:12 -0600] "GET /FindIp/angular/angular.min.js.map HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jul/2016:14:06:16 -0600] "POST /FindIp/rest/getIpData?Accept=application%2Fjson&content-type=application%2Fjson HTTP/1.1" 200 212
